,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10
Sagittaria_latifolia,1,0,1,0,1,0,0,0,0,1
Alisma_triviale,1,1,1,0,1,0,1,0,1,0
Calla_palustris,0,1,0,1,0,0,0,0,1,0
Arisaema_atrorubens,0,1,0,0,0,0,0,1,0,1
Eriocaulon_septangulare,1,0,0,0,0,1,0,0,0,1
Sisyrinchium_montanum,1,0,0,0,0,1,1,1,0,0
Iris_versicolor,1,1,1,0,0,0,1,1,0,1
Uvularia_grandiflora,0,0,0,0,1,0,0,1,0,0
Clintonia_borealis,1,1,1,1,0,1,1,0,1,1
Maianthemum_canadense,1,0,0,0,1,0,1,0,0,0
Smilax_herbacea,1,1,0,1,1,0,0,1,0,1
Smilacina_racemosa,0,1,0,0,0,1,1,0,0,0
Disporum_hookerii,0,1,0,1,0,0,1,1,0,0
Lilium_michiganese,1,1,0,1,0,1,0,1,1,1
Trillium_cernuum,0,0,0,0,1,1,1,0,0,1
Streptopeus_roseus,0,0,1,0,1,0,1,1,0,1
Polygonatum_pubescens,0,0,1,1,0,1,0,0,1,1
Smilacina_trifolia,1,1,1,0,0,1,1,0,0,1
Erythronium_americanum,0,1,1,1,1,0,0,1,1,1
Streptopeus_amplexifolius,1,1,0,1,0,1,0,1,0,0
Trillium_grandiflorum,0,0,0,1,1,1,0,1,0,1
Allium_tricoccum,1,0,0,0,0,0,1,1,0,0
Uvularia_sessyfolia,1,1,0,1,0,0,0,0,0,1
Lilium_philadelphicum,1,0,0,1,0,1,0,0,1,0
Malaxis_unifolia,0,0,0,1,0,0,1,1,0,0
Cypripedium_arietinum,1,1,1,1,0,1,0,0,0,0
Spiranthes_gracillis,1,1,1,1,1,1,1,0,0,0
Listera_convallariodes,1,0,1,1,1,1,0,1,0,0
Calopogon_pulchellus,1,1,0,0,1,1,1,1,0,0
Platanthera_dilatata,0,1,1,0,0,1,1,1,0,0
Platanthera_hyperborea,1,0,1,0,0,0,0,0,0,1
Platanthera_fimbriata,1,0,1,0,0,1,0,0,1,1
Spiranthes_lucida,1,0,1,0,0,0,1,1,0,1
Spiranthes_cernua,0,0,0,1,0,0,1,0,0,0
Platanthera_lacera,0,1,1,0,1,0,0,1,0,1
Goodyera_repens,1,0,1,0,0,0,0,1,1,0
Epipactis_hellborine,1,0,1,1,0,1,1,1,0,0
Corallorhiza_trifida,0,0,0,0,1,1,1,1,1,1
Cypripedium_acaule,0,0,0,0,0,1,1,1,0,0
Goodyera_oblongifolia,0,0,1,0,0,1,0,1,1,1
Platanthera_orbiculata,0,0,1,1,0,0,0,1,1,0
Platanthera_clavellata,1,1,1,1,1,1,0,0,0,1
Corallorhiza_maculata,1,1,0,0,0,1,0,0,1,0
Corallorhiza_striata,0,0,1,1,0,1,1,1,1,1
Cypripedium_calceolus,0,0,0,1,1,1,0,0,0,0
Typha_latifolia,1,0,0,1,0,0,0,1,1,1
Acer_rubrum,1,1,0,0,0,0,0,1,0,1
Acer_saccharum,1,1,0,0,1,0,1,1,0,0
Acer_spicatum,0,0,0,0,1,1,1,0,1,0
Toxicodendron_radicans,1,0,1,1,0,1,0,0,0,1
Rhus_thyphina,1,1,0,0,1,1,0,1,1,1
Apocynum_androsaemafolium,0,1,0,1,1,1,0,1,1,0
Nemopanthus_mucronatus,1,0,1,0,1,1,0,1,1,0
Ilex_verticilata,0,0,1,1,0,1,0,0,0,0
Aralia_hispida,1,0,1,0,0,1,1,1,1,1
Panax_trifoleus,1,0,0,1,0,1,0,1,0,1
Aralia_racemosa,1,0,1,1,0,0,0,0,0,1
Aralia_nudicaulis,0,0,1,1,0,0,0,1,0,1
Asarum_canadense,1,0,0,0,1,0,1,1,1,1
Asclepias_syriaca,1,1,1,0,0,0,1,1,0,0
Asclepias_incarnata,0,0,0,1,0,1,1,1,0,1
Impatiens_capensis,1,0,1,1,1,0,0,1,0,0
Caulophylum_thalictroides,1,0,0,0,1,1,0,0,1,0
Corylus_cornuta,1,0,0,1,1,0,0,0,1,0
Carpinus_caroliniana,0,1,1,1,1,0,0,1,1,0
Ostrya_virginiana,1,0,1,0,1,0,0,0,1,0
Alnus_rugosa,1,1,1,1,0,0,1,0,1,0
Betula_papyrifera,1,1,0,0,1,1,0,1,1,0
Betula_alleghaniensis,1,0,0,1,1,0,0,1,0,1
Myosotis_scorpiodes,0,0,1,0,1,0,0,1,0,1
Mertensia_paniculata,0,1,1,0,1,1,0,0,0,0
Lobelia_silphicata,0,1,1,0,0,1,1,1,1,1
Campanula_rotundifolia,1,1,1,1,0,0,1,0,0,0
Lobelia_inflata,1,1,1,1,1,1,1,0,1,0
Viburnum_rafinesquianum,0,1,1,1,1,1,1,1,0,1
Lonicera_canadensis,0,1,1,0,0,1,1,1,0,0
Diervilla_lonicera,0,1,1,0,0,1,0,1,0,1
Viburnum_lentago,1,1,1,0,0,1,1,0,0,0
Sambucus_pubens,0,1,1,0,0,1,0,1,0,1
Lonicera_dioca,1,0,1,1,0,0,1,1,1,0
Symphoricarpos_albus,0,0,0,0,0,0,1,1,1,1
Triosteum_aurantiacum,0,1,1,0,1,1,1,1,0,1
Linnaea_borealis,1,0,1,0,0,1,1,1,0,0
Viburnum_trilobum,1,1,1,1,1,0,0,1,0,1
Silene_cucubalis,0,0,0,0,1,1,1,0,1,0
Dianthus_armeria,1,1,1,1,0,0,0,1,0,1
Silene_pratensis,0,0,0,1,0,0,1,0,1,0
Cerastium_arvense,1,0,0,1,0,0,0,0,0,1
Silene_antirrhina,0,0,1,0,1,0,1,1,1,0
Saponaria_officinalis,0,1,1,1,0,1,1,0,0,0
Celastrus_scandens,1,1,0,0,0,0,1,0,1,1
Chenopodium_album,0,0,1,1,1,1,1,1,1,0
Chenopodium_capitatum,0,0,1,0,0,0,1,0,0,0
Helianthemum_canadense,1,0,1,0,1,1,1,0,1,1
Lechea_stricta,0,0,1,0,1,1,0,0,0,0
Aster_sagittifolius,1,0,0,1,1,1,1,1,0,0
Bidens_spp.,1,0,0,1,1,0,0,1,0,1
Aster_macrophyllum,0,0,0,1,1,1,0,1,0,0
Rudbeckia_hirta,1,1,0,1,1,0,1,1,0,1
Eupatorium_perfoliatum,1,1,1,0,1,1,1,1,1,0
Aster_umbellatus,1,0,0,1,0,0,0,1,0,0
Erigeron_strigosus,1,0,0,1,1,0,1,1,0,1
Solidago_simplex,0,1,1,1,0,0,0,0,0,1
Solidaga_canadensis,1,1,1,1,0,0,1,0,0,0
Solidago_graminifolia,0,0,1,0,1,0,1,1,1,0
Solidago_nemoralis,0,0,0,1,1,0,1,1,0,0
Rudbeckia_laciniata,1,0,0,0,1,1,1,1,1,1
Erigeron_canadensis,1,0,1,1,1,0,1,0,1,0
Hieracium_pratense,1,0,1,0,1,1,1,0,0,0
Aster_ciliolatus,0,0,1,0,0,0,1,0,1,1
Spiraea_alba,1,1,1,0,1,1,1,1,1,0
Matricaria_matricariodes,0,1,1,1,0,0,0,1,0,0
Hieracium_aurantiacum,1,1,0,0,0,1,1,0,1,0
Chrysanthemum_luecanthemum,0,0,0,0,1,0,0,0,1,0
Anaphalis_margaritaceae,1,1,1,0,0,0,1,0,0,1
Aster_puniceus,1,0,0,0,1,1,0,0,0,1
Antennaria_howellii,0,0,0,0,0,1,1,1,0,1
Senecio_paupercaulus,1,0,0,0,0,1,1,1,1,0
Aster_laevis,0,1,0,1,1,0,1,1,0,1
Eupatorium_maculatum,1,0,1,0,0,1,0,1,1,0
Petasites_frigidus,0,1,1,1,0,1,1,0,1,1
Artemisia_caudata,1,0,0,1,0,1,1,1,1,1
Tanacetum_vulgare,0,0,0,0,0,0,1,1,0,0
Adenocaulon_bicolor,1,0,1,1,0,1,1,0,0,1
Megalodonta_beckii,0,1,0,0,0,1,0,0,1,0
Prenanthes_alba,1,1,1,0,1,0,1,1,1,1
Helianthus_strumosus,0,1,0,1,1,1,1,0,1,0
Achillae_millefolium,0,0,0,0,0,1,1,1,1,1
Hieracium_piloselloides,0,1,0,0,0,0,0,1,0,0
Solidago_flexicaulis,1,0,1,1,0,0,0,0,0,1
Convovulvus_spithameus,0,1,0,1,1,1,0,0,0,0
Cornus_alternifolia,0,0,0,0,1,0,0,1,1,0
Cornus_stolonifera,0,1,0,1,0,0,1,1,1,0
Cornus_canadensis,0,0,1,1,0,1,0,1,0,1
Arabis_lyrata,1,1,0,0,0,1,0,0,1,1
Arabis_divaricarpa,0,1,0,1,1,0,0,1,1,0
Cardamine_rotundifolia,1,0,0,0,0,1,1,1,0,0
Cardamine_pensylvanica,0,0,1,0,1,0,1,1,0,0
Barbarea_vulgaris,1,1,1,0,1,0,1,0,1,0
Dentaria_laciniata,1,1,1,1,0,1,0,0,0,0
Dentaria_diphylla,0,0,1,0,1,1,1,0,0,0
Echinodystis_lobata,0,0,1,0,1,1,1,0,0,0
Drosera_intermedia,0,0,0,1,1,0,0,1,1,1
Sheperdia_canadensis,0,0,0,0,0,0,0,1,0,0
Andromeda_glaucophylla,0,1,0,1,0,1,0,0,1,1
Arctostaphylos_uva-ursa,1,1,1,0,0,0,1,1,0,0
Vaccinium_pennsylvanicum,0,0,1,0,0,0,0,1,1,0
Vaccinium_myrtilloides,0,0,1,0,1,0,0,1,1,1
Vaccinium_macrocarpon,0,0,0,0,1,1,1,0,0,0
Ledum_groenlandicum,1,1,1,1,0,0,1,1,0,1
Chamadaphne_calyculata,0,0,0,0,0,1,1,1,0,1
Kalmia_polifolia,1,0,1,1,0,0,0,1,1,0
Epigaea_repens,0,0,1,1,0,0,0,0,0,1
Gaultheria_procumbens,1,1,0,1,0,1,1,1,1,0
Quercus_ellipsoidalis,1,1,0,0,1,1,0,0,0,1
Quercus_rubra,0,0,0,1,1,1,1,1,0,0
Hypericum_perforatum,0,1,0,1,1,1,0,0,0,1
Hypericum_pyramidatum,0,0,1,1,0,0,0,0,1,0
Hypericum_ellipticum,0,1,1,0,0,0,1,1,1,0
Geleopsis_tetrahit,1,0,0,1,1,1,0,1,0,0
Leonurus_cardiaca,0,1,1,1,0,0,1,1,1,1
Scuttellaria_lateriflora,1,0,0,1,1,1,0,1,1,1
Prunella_vulgaris,1,1,0,1,0,1,1,0,1,0
Urtica_gracilus,0,1,0,0,0,0,1,0,1,0
Lycopus_americanus,0,1,1,0,1,0,0,0,1,1
Satureja_vulgaris,0,1,1,0,0,0,0,0,0,0
Monarda_fistulosa,1,0,0,1,0,1,1,0,1,0
Mentha_arvensis,1,1,1,0,1,1,0,1,1,1
Laportea_canadensis,0,0,0,0,1,1,1,1,0,1
Lathyrus_japonicus,0,0,1,0,1,1,0,1,1,0
Lotus_corniculatus,1,0,0,1,1,0,1,1,1,0
Lupinus_polyphyllus,1,1,1,0,0,0,1,0,0,1
Astralagus_canadensis,1,0,1,1,1,0,0,0,1,1
Viccia_cracca,0,1,0,0,0,1,1,1,0,1
Melilotus_alba,1,1,1,0,1,1,1,0,1,0
Melilotus_officinalis,0,0,1,1,0,1,1,0,0,1
Lythrum_salicare,0,0,1,0,1,1,0,1,1,1
Malva_moschata,1,0,1,1,0,1,1,0,0,1
Myrica_gale,1,1,0,1,1,0,1,1,0,1
Nuphar_variegata,0,1,0,1,1,1,0,1,0,0
Nymphaea_odorata,0,0,0,0,1,0,0,1,0,0
Brassenia_schreberi,1,0,1,1,1,1,0,0,0,1
Fraxinus_nigra,0,1,1,0,1,1,1,1,1,1
Fraxinus_pennsylvanica,0,1,0,0,0,0,1,1,1,1
Epilobium_augustifolium,0,1,1,1,0,0,0,1,0,0
Oenothera_biennis,1,1,0,0,1,0,0,1,1,1
Circaea_alpina,0,0,1,1,0,0,0,1,0,0
Epilobium_glandulosum,1,0,0,0,0,1,0,0,1,1
Epilobium_coloratum,0,0,1,1,0,0,0,0,1,1
Conopholis_americana,0,0,0,0,0,1,0,0,0,0
Orobanche_uniflora,0,0,0,0,1,1,0,0,1,1
Oxalis_acetosella,1,0,1,1,0,0,1,0,1,0
Corydalis_sempervirens,0,1,0,0,0,1,0,0,0,0
Sanguinaria_canadensis,1,0,0,1,1,0,0,0,1,0
Dicentra_cuccularia,0,0,0,0,1,1,1,1,0,1
Dicentra_canadensis,0,1,1,0,0,0,1,1,1,1
Polygola_paucifolia,1,0,0,0,0,1,0,1,1,1
Rumex_crispus,1,0,1,0,0,1,0,0,1,0
Rumex_acetosella,1,0,0,0,0,0,0,0,0,1
Rumex_verticillatus,1,1,1,1,0,0,0,1,0,0
Polygonum_amphibium,1,1,1,0,0,1,1,0,0,1
Polygonum_lapathifolium,1,0,0,1,0,0,1,0,0,1
Polygonum_coccineum,1,1,1,0,1,0,1,0,1,1
Claytonia_caroliniana,0,1,1,0,1,1,0,0,0,0
Lysimichia_ciliata,0,0,0,1,0,1,0,1,1,0
Lysimichia_thyrsifloria,1,1,0,1,1,0,0,1,0,0
Trientalis_borealis,0,1,1,0,1,1,0,0,1,1
Moneses_uniflora,0,0,0,1,1,1,1,1,0,0
Monotropa_uniflora,0,0,0,1,1,0,0,0,0,0
Monotropa_hypopithys,0,1,0,1,0,0,0,0,0,1
Chimaphila_umbellata,0,1,0,1,1,0,1,0,0,0
Pyrola_elliptica,0,0,0,1,0,1,1,1,1,0
Ranunculus_pennsylvanicus,0,0,1,1,1,0,0,1,1,1
Anemone_canadensis,0,1,0,1,0,1,0,1,1,0
Aquilegia_canadensis,0,0,1,0,1,0,1,0,0,0
Ranunculus_acris,0,1,1,1,1,1,0,1,1,0
Heracleum_maximum,1,1,1,0,1,0,0,1,1,0
Thalictrum_venulosum,1,0,0,0,0,0,0,1,1,1
Coptis_trifolia,1,0,1,0,1,1,0,1,1,1
Ranunculus_recurvatus,1,1,1,1,0,1,0,0,0,0
Caltha_palustris,0,1,1,0,1,1,0,0,0,1
Thalictrum_dasycarpum,1,1,1,1,0,1,0,1,1,1
Clematis_verticillaris,1,0,1,0,1,0,0,1,1,0
Helatica_acutiloba,1,0,0,0,0,1,0,0,0,1
Ranunculus_abortivus,0,1,1,0,1,1,0,0,1,0
Ranunculus_reptans,0,0,1,0,1,0,0,0,1,0
